,gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q2,q3
198,-0.028,-0.04,-0.05,-0.196,0.354,9.901,-10.576,-3.574,-72.668,0.997,0.021,0.037,0.018
199,-0.005,-0.033,0.036,0.115,0.417,9.858,-9.117,-2.139,-72.008,0.997,0.021,0.037,0.018
200,-0.024,-0.021,-0.044,-0.057,0.455,9.872,-9.112,-2.619,-72.017,0.997,0.021,0.037,0.018
201,-0.06,0.003,-0.049,-0.12,0.398,9.93,-9.497,-3.391,-70.886,0.997,0.021,0.037,0.017
202,-0.042,-0.045,0.092,0.034,0.412,9.978,-8.938,-3.25,-71.442,0.997,0.02,0.037,0.018
203,-0.028,-0.043,0.052,0.024,0.307,9.824,-9.267,-3.591,-72.621,0.997,0.02,0.037,0.018
204,-0.072,0.009,0.011,-0.125,0.402,9.863,-8.66,-2.616,-71.565,0.997,0.02,0.037,0.018
205,-0.087,0.044,-0.002,0.048,0.34,9.954,-8.408,-2.964,-72.722,0.997,0.019,0.037,0.018
206,-0.03,-0.008,-0.032,-0.077,0.249,9.939,-8.961,-3.585,-72.174,0.997,0.019,0.037,0.018
207,-0.069,0.039,0.023,0.072,0.374,9.834,-8.961,-3.585,-72.174,0.997,0.019,0.037,0.018
208,-0.039,0.007,-0.058,-0.091,0.354,9.949,-8.518,-2.781,-71.708,0.997,0.019,0.037,0.018
209,0.007,-0.021,0.083,-0.067,0.378,9.935,-8.518,-2.781,-71.708,0.997,0.019,0.037,0.018
210,-0.055,0.026,-0.036,-0.115,0.316,9.992,-9.128,-2.145,-72.298,0.997,0.018,0.037,0.018
211,-0.042,-0.011,0.007,-0.148,0.431,9.911,-10.116,-1.954,-71.46,0.997,0.018,0.038,0.018
212,-0.026,0.023,0.035,-0.105,0.46,9.997,-8.355,-2.934,-71.27,0.997,0.018,0.038,0.018
213,-0.06,0.053,-0.037,-0.048,0.292,9.944,-8.676,-2.625,-72.001,0.997,0.018,0.038,0.018
214,-0.037,0.043,-0.03,-0.144,0.407,9.901,-8.504,-4.062,-71.732,0.997,0.018,0.038,0.018
215,-0.034,-0.03,0.051,-0.12,0.326,9.92,-10.544,-3.556,-71.797,0.997,0.018,0.038,0.018
216,-0.029,-0.026,0.054,-0.096,0.35,9.872,-10.145,-1.648,-72.18,0.997,0.017,0.038,0.019
217,-0.109,0.021,0.003,0.062,0.455,9.887,-10.607,-4.076,-73.693,0.997,0.017,0.039,0.019
218,-0.058,0.051,-0.025,-0.029,0.292,9.997,-8.56,-2.805,-72.87,0.997,0.017,0.039,0.018
219,-0.033,-0.018,0.078,-0.029,0.321,10.011,-8.56,-2.805,-72.87,0.997,0.016,0.039,0.019
220,-0.018,0.023,0.003,0.043,0.388,9.92,-9.096,-2.61,-71.581,0.997,0.016,0.039,0.019
221,-0.025,-0.019,0.005,-0.134,0.201,9.815,-9.691,-3.256,-72.195,0.997,0.016,0.039,0.019
222,0.046,-0.014,0.023,0.038,0.287,9.901,-8.102,-2.475,-72.122,0.997,0.016,0.039,0.019
223,0.035,0.002,-0.004,-0.139,0.283,9.935,-9.094,-4.221,-72.047,0.997,0.017,0.039,0.019
224,-0.047,0.005,-0.024,0.005,0.359,9.92,-8.369,-2.619,-71.555,0.997,0.016,0.039,0.019
225,-0.024,0.015,0.046,0.081,0.422,9.997,-9.091,-2.124,-71.282,0.997,0.016,0.039,0.019
226,-0.051,-0.011,-0.018,-0.077,0.086,9.863,-9.888,-2.961,-73.501,0.997,0.016,0.039,0.019
227,-0.054,0.016,-0.002,-0.014,0.326,9.834,-11.157,-2.6,-72.38,0.997,0.016,0.039,0.019
228,-0.041,0.075,-0.002,-0.038,0.302,9.949,-8.374,-4.557,-72.317,0.997,0.016,0.04,0.019
229,-0.019,-0.022,0.03,0.019,0.388,9.997,-8.374,-4.557,-72.317,0.997,0.016,0.04,0.019
230,0.002,-0.048,0.03,-0.067,0.398,10.011,-8.463,-4.362,-70.722,0.997,0.016,0.04,0.019
231,-0.01,0,0.07,0.077,0.249,9.896,-8.463,-4.362,-70.722,0.997,0.016,0.04,0.02
232,-0.061,0.041,-0.017,0.048,0.148,9.93,-8.369,-2.619,-71.555,0.997,0.015,0.04,0.02
