ax,ay,az,gx,gy,gz,mx,my,mz
-16632.0,248.0,1168.0,34.0,-785.0,729.0,158.0,-157.0,-318.0
-16552.0,352.0,960.0,262.0,-476.0,558.0,150.0,-160.0,-333.0
-16384.0,200.0,1224.0,66.0,-15.0,525.0,152.0,-159.0,-316.0
-16664.0,144.0,1000.0,-342.0,422.0,-299.0,150.0,-162.0,-328.0
-16608.0,168.0,1072.0,878.0,-306.0,79.0,146.0,-161.0,-334.0
-16216.0,216.0,920.0,509.0,362.0,-83.0,144.0,-154.0,-327.0
-16144.0,312.0,952.0,-584.0,-31.0,-475.0,156.0,-160.0,-325.0
-16488.0,112.0,840.0,-560.0,55.0,-340.0,150.0,-162.0,-315.0
-16264.0,304.0,1272.0,-820.0,387.0,407.0,156.0,-162.0,-318.0
-16280.0,272.0,1104.0,-784.0,-490.0,-552.0,156.0,-170.0,-325.0
-16480.0,240.0,1272.0,-2217.0,-1698.0,-171.0,160.0,-166.0,-329.0
-16800.0,280.0,1248.0,-2982.0,-3820.0,-595.0,153.0,-157.0,-330.0
-16560.0,-0.0,1592.0,-2498.0,-5165.0,-616.0,149.0,-156.0,-324.0
-16176.0,-848.0,2384.0,-2467.0,-6838.0,-2011.0,144.0,-161.0,-342.0
-21448.0,3520.0,4176.0,9295.0,-10168.0,14809.0,134.0,-150.0,-343.0
-16064.0,360.0,3456.0,4118.0,-16826.0,2626.0,121.0,-160.0,-348.0
-15632.0,-544.0,5088.0,-4067.0,-12234.0,3025.0,106.0,-163.0,-354.0
-14464.0,1264.0,5424.0,-9990.0,-14951.0,1939.0,93.0,-159.0,-362.0
-16376.0,1544.0,8184.0,-5378.0,-18664.0,1573.0,90.0,-161.0,-377.0
-13752.0,-560.0,8656.0,-7153.0,-18687.0,-1450.0,80.0,-156.0,-382.0
-14568.0,-624.0,10392.0,-7858.0,-16627.0,-861.0,58.0,-141.0,-397.0
-11104.0,688.0,10744.0,6048.0,-20899.0,-7854.0,38.0,-152.0,-398.0
-13224.0,360.0,12904.0,-3356.0,-18253.0,-3673.0,14.0,-145.0,-408.0
-10464.0,-1392.0,13240.0,-604.0,-21947.0,3201.0,2.0,-141.0,-410.0
-5744.0,1256.0,11536.0,9523.0,-23316.0,-7232.0,-20.0,-150.0,-408.0
-6472.0,-616.0,15568.0,-3078.0,-17713.0,-8039.0,-36.0,-160.0,-413.0
-6520.0,-1688.0,14984.0,-12741.0,-14726.0,662.0,-42.0,-144.0,-417.0
-6864.0,424.0,14904.0,1722.0,-12306.0,7117.0,-73.0,-142.0,-418.0
-1960.0,104.0,16880.0,9767.0,-15928.0,1786.0,-80.0,-156.0,-410.0
-4592.0,160.0,16008.0,4740.0,-12307.0,5352.0,-86.0,-150.0,-413.0
144.0,352.0,14312.0,7596.0,-9844.0,-2780.0,-104.0,-163.0,-399.0
-1696.0,1664.0,16080.0,6966.0,-2125.0,-4380.0,-114.0,-168.0,-392.0
-1144.0,552.0,17864.0,6386.0,-5288.0,-3899.0,-118.0,-177.0,-393.0
2744.0,720.0,14824.0,8731.0,-5190.0,1096.0,-122.0,-178.0,-379.0
504.0,2544.0,15144.0,-4376.0,-1124.0,-1207.0,-114.0,-186.0,-372.0
960.0,592.0,10696.0,-4643.0,7663.0,-6460.0,-116.0,-177.0,-381.0
1064.0,2064.0,15592.0,1826.0,2216.0,-1707.0,-106.0,-176.0,-387.0
-1216.0,2328.0,15776.0,6730.0,2594.0,1044.0,-125.0,-181.0,-377.0
-2008.0,2656.0,17504.0,5006.0,2975.0,-556.0,-116.0,-182.0,-388.0
-3832.0,3104.0,17088.0,4709.0,2196.0,-51.0,-113.0,-195.0,-371.0
-1976.0,2520.0,17248.0,4804.0,555.0,-590.0,-98.0,-196.0,-369.0
-888.0,2224.0,16336.0,2504.0,-838.0,267.0,-110.0,-190.0,-378.0
-744.0,3720.0,15936.0,3621.0,-787.0,1159.0,-100.0,-199.0,-378.0
-2096.0,4064.0,16056.0,1769.0,-1275.0,108.0,-117.0,-201.0,-369.0
-2080.0,4680.0,15528.0,1775.0,-323.0,650.0,-109.0,-201.0,-357.0
-488.0,4144.0,16544.0,1051.0,-1715.0,991.0,-105.0,-202.0,-348.0
-1632.0,4512.0,14960.0,1464.0,-1467.0,128.0,-105.0,-209.0,-363.0
-1608.0,5288.0,16256.0,60.0,-828.0,442.0,-110.0,-202.0,-355.0
-728.0,5192.0,15800.0,2324.0,-596.0,114.0,-112.0,-216.0,-362.0
-1328.0,5768.0,13768.0,4923.0,-4142.0,-261.0,-109.0,-218.0,-359.0
-696.0,4504.0,16392.0,2903.0,-185.0,163.0,-109.0,-198.0,-357.0
-1416.0,5440.0,15448.0,3311.0,-1524.0,504.0,-98.0,-211.0,-349.0
-848.0,5216.0,15640.0,2059.0,-1252.0,1242.0,-112.0,-218.0,-352.0
