n,gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q3,q4
124,-0.011,0.044,0.025,-0.417,-0.01,9.987,2.478,-3.67,-92.595,0.984,0.004,0.016,-0.167
125,-0.011,0.021,-0.001,-0.556,0.12,9.935,1.351,-3.151,-91.466,0.984,0.004,0.016,-0.167
126,-0.013,0.023,-0.02,-0.369,0.086,9.997,1.484,-1.548,-91.286,0.984,0.004,0.016,-0.167
127,0.029,-0.033,0.049,-0.412,0.12,9.901,2.219,-4.615,-92.042,0.984,0.004,0.016,-0.167
128,0.023,0.013,0.005,-0.56,0.01,9.877,2.219,-4.615,-92.042,0.984,0.004,0.016,-0.167
129,-0.017,0.024,-0.041,-0.489,0.086,9.901,2.006,-2.878,-93.321,0.984,0.004,0.016,-0.167
130,0.005,-0.018,0.003,-0.474,0.005,9.872,0.273,-3.334,-93.248,0.984,0.004,0.016,-0.167
131,-0.032,0.078,0.022,-0.508,0,9.901,0.273,-3.334,-93.248,0.984,0.004,0.017,-0.167
132,0.03,0.011,0.075,-0.441,0.105,9.906,1.315,-3.655,-92.637,0.984,0.004,0.017,-0.167
133,-0.035,-0.006,0.003,-0.565,0.057,9.935,2.188,-3.343,-92.454,0.984,0.004,0.017,-0.167
134,0.057,-0.053,0.045,-0.565,0.096,10.054,1.912,-4.621,-92.488,0.984,0.005,0.017,-0.166
135,-0.022,0.023,-0.003,-0.527,0.105,9.939,1.558,-3.202,-93.779,0.984,0.005,0.017,-0.166
136,0.02,-0.027,0.085,-0.393,0.144,9.882,0.989,-3.349,-93.512,0.984,0.005,0.017,-0.166
137,0.024,0.027,-0.003,-0.431,-0.077,9.891,2.606,-4.971,-93.485,0.984,0.005,0.017,-0.166
138,0.023,0.006,-0.031,-0.608,-0.005,9.973,1.306,-2.854,-92.622,0.984,0.005,0.017,-0.166
139,0.055,-0.007,0.057,-0.503,0.057,9.882,2.208,-2.687,-91.716,0.984,0.005,0.017,-0.166
140,0.04,-0.019,0.043,-0.508,0.187,9.944,2.208,-2.687,-91.716,0.984,0.006,0.017,-0.166
141,-0.01,0.026,-0.03,-0.445,0.005,9.925,0.718,-4.141,-93.247,0.984,0.006,0.017,-0.166
142,-0.009,0.013,0.037,-0.498,-0.024,9.92,0.731,-3.004,-92.5,0.984,0.006,0.017,-0.166
143,-0.021,-0.009,-0.085,-0.45,0.067,9.867,0.731,-3.004,-92.5,0.984,0.005,0.017,-0.166
144,0.021,-0.025,0.048,-0.388,0.067,9.954,2.029,-2.543,-92.589,0.984,0.006,0.017,-0.166
145,-0.043,0.059,-0.053,-0.527,0.038,10.117,1.609,-2.529,-92.17,0.984,0.005,0.017,-0.166
146,-0.004,0.044,0.021,-0.422,0.086,9.944,1.545,-2.081,-93.758,0.984,0.005,0.018,-0.166
147,0,-0.034,0.01,-0.436,0.053,10.026,0.863,-3.659,-93.088,0.984,0.005,0.018,-0.166
148,0.003,-0.033,0.007,-0.383,0,9.791,1.321,-2.845,-92.186,0.984,0.005,0.017,-0.166
149,-0.013,-0.018,0.012,-0.489,0.077,9.882,1.916,-4.941,-92.494,0.984,0.005,0.017,-0.166
150,-0.033,0.067,-0.034,-0.503,0.091,9.863,1.625,-3.97,-92.197,0.984,0.005,0.018,-0.166
151,0.024,-0.03,0.063,-0.412,0.077,9.978,0.751,-3.316,-92.071,0.984,0.006,0.018,-0.166
152,-0.021,0.055,-0.028,-0.541,-0.029,9.92,0.751,-3.316,-92.071,0.984,0.005,0.018,-0.166
153,0.032,-0.039,0.044,-0.398,0.024,9.805,1.441,-3.829,-93.215,0.984,0.006,0.018,-0.166
154,-0.013,0.021,-0.005,-0.378,0.086,9.872,1.309,-1.724,-92.165,0.984,0.006,0.018,-0.166
155,-0.016,0.017,-0.024,-0.517,-0.12,9.882,1.309,-1.724,-92.165,0.984,0.005,0.018,-0.166
156,-0.005,0.004,-0.033,-0.493,0.048,9.891,0.85,-2.538,-93.067,0.984,0.005,0.018,-0.166
157,0.007,0.04,0.003,-0.431,0.005,9.954,1.612,-2.849,-92.176,0.984,0.006,0.018,-0.166
158,-0.006,0.07,-0.012,-0.527,0.053,10.011,1.911,-5.428,-92.794,0.984,0.006,0.019,-0.166
159,0.044,-0.02,0.061,-0.627,0.091,9.872,1.87,-4.161,-93.496,0.984,0.006,0.019,-0.166
160,0.033,-0.007,0.016,-0.46,-0.034,9.844,1.017,-4.945,-93.252,0.984,0.006,0.019,-0.166
161,-0.014,-0.027,-0.021,-0.68,0.048,9.93,0.879,-3.65,-92.652,0.984,0.006,0.019,-0.166
162,0.015,0.022,0.061,-0.594,-0.01,9.973,0.879,-3.65,-92.652,0.984,0.006,0.019,-0.165
163,-0.047,0.011,-0.009,-0.489,0.057,9.906,0.46,-2.829,-91.927,0.984,0.006,0.019,-0.165
164,-0.022,0.027,0.007,-0.556,0.038,9.963,0.973,-3.358,-93.948,0.984,0.006,0.019,-0.165
165,-0.049,0.039,0.001,-0.57,0.014,9.978,0.973,-3.358,-93.948,0.984,0.006,0.019,-0.165
166,0,0.022,0.029,-0.465,0.11,9.992,2.607,-4.164,-93.179,0.984,0.006,0.019,-0.165
167,-0.028,0.035,-0.027,-0.498,-0.077,9.968,0.717,-2.69,-92.785,0.984,0.006,0.02,-0.165
168,0.029,0.052,0.073,-0.441,0.048,9.8,1.026,-3.328,-92.496,0.984,0.006,0.02,-0.165
169,-0.043,0.019,-0.011,-0.517,-0.014,9.925,1.635,-3.964,-91.906,0.984,0.006,0.02,-0.165
170,-0.029,0.036,-0.031,-0.445,0.034,9.987,2.186,-5.44,-93.219,0.984,0.006,0.02,-0.165
171,0.008,-0.002,-0.033,-0.431,0.034,9.887,1.008,-2.694,-92.774,0.984,0.006,0.02,-0.165
172,0.009,-0.04,-0.005,-0.426,-0.038,9.968,0.149,-4.771,-93.135,0.984,0.006,0.02,-0.165
173,-0.011,-0.036,0.033,-0.465,-0.062,9.968,-0.105,-3.78,-91.821,0.984,0.006,0.02,-0.165
174,-0.016,0.048,0.02,-0.489,-0.086,9.867,-0.105,-3.78,-91.821,0.984,0.006,0.02,-0.165
175,0.001,-0.025,0.062,-0.402,-0.072,9.877,1.88,-2.704,-92.743,0.984,0.006,0.02,-0.165
176,0.075,-0.01,0.045,-0.455,0.043,9.839,1.88,-2.704,-92.743,0.984,0.006,0.02,-0.165
177,0.029,-0.004,0.005,-0.522,0.148,9.906,1.031,-3.809,-92.505,0.984,0.006,0.02,-0.165
178,0.041,-0.024,-0.006,-0.441,0.024,9.882,0.959,-3.044,-94.232,0.984,0.007,0.02,-0.165
179,-0.011,0.014,-0.01,-0.46,0.005,9.939,0.856,-3.985,-93.384,0.984,0.007,0.02,-0.165
180,-0.038,0.007,0.011,-0.445,0.029,10.064,0.705,-3.019,-93.226,0.984,0.006,0.02,-0.165
181,0.016,0.007,0.033,-0.465,0.081,9.973,0.723,-4.621,-93.256,0.984,0.006,0.02,-0.164
182,-0.051,0.025,-0.007,-0.489,-0.014,9.872,2.471,-4.48,-93.045,0.984,0.006,0.02,-0.164
183,0.017,-0.021,0.038,-0.551,-0.034,9.906,1.583,-3.994,-93.358,0.984,0.006,0.02,-0.164
184,0.004,0.025,0.026,-0.503,0.043,9.887,0.73,-3.811,-92.806,0.984,0.006,0.02,-0.164
185,-0.034,0.025,0.018,-0.541,0.053,9.935,2.145,-2.723,-93.458,0.985,0.006,0.021,-0.164
186,0.033,0.021,0.012,-0.532,0.01,9.791,2.145,-2.723,-93.458,0.985,0.007,0.021,-0.164
187,-0.058,0.069,0.014,-0.412,-0.043,9.92,0.731,-3.004,-92.5,0.985,0.006,0.021,-0.164
188,0.015,0.035,0.02,-0.546,0.053,10.006,1.435,-3.349,-93.206,0.985,0.006,0.021,-0.164
189,-0.025,0.066,-0.01,-0.345,0.029,10.016,1.435,-3.349,-93.206,0.985,0.006,0.022,-0.164
190,-0.026,0.031,0.017,-0.513,0.043,9.968,0.178,-3.626,-91.953,0.985,0.006,0.022,-0.164
191,-0.015,0.018,-0.021,-0.402,0.034,9.935,1.887,-3.345,-92.755,0.985,0.006,0.022,-0.164
192,-0.002,-0.017,0.067,-0.546,0.038,9.954,1.292,-3.991,-93.369,0.985,0.006,0.022,-0.164
193,-0.009,-0.023,0.013,-0.599,-0.043,9.882,1.451,-3.34,-92.771,0.985,0.006,0.022,-0.164
194,-0.028,0.004,-0.025,-0.445,0.077,9.911,0.401,-3.669,-93.83,0.985,0.006,0.022,-0.164
195,-0.046,0.04,0,-0.441,0.101,10.016,1.325,-3.166,-92.192,0.985,0.006,0.022,-0.164
196,-0.019,0.04,-0.033,-0.522,-0.053,9.93,1.324,-4.456,-92.652,0.985,0.006,0.022,-0.164
197,-0.037,-0.013,0.007,-0.493,-0.115,9.839,1.341,-3.64,-91.911,0.985,0.006,0.022,-0.164
198,-0.015,0.044,-0.011,-0.517,-0.029,9.958,1.341,-3.64,-91.911,0.985,0.006,0.023,-0.164
199,0.062,-0.033,0.055,-0.503,0,9.872,0.295,-2.999,-92.516,0.985,0.006,0.022,-0.164
200,0.038,0.01,0.043,-0.436,-0.029,9.839,1.27,-2.068,-93.333,0.985,0.006,0.022,-0.163
201,0.025,-0.031,0.018,-0.565,0.019,9.935,1.27,-2.068,-93.333,0.985,0.006,0.022,-0.163
202,-0.055,0.041,-0.011,-0.565,0.105,9.973,0.863,-3.659,-93.088,0.985,0.006,0.023,-0.163
203,0.011,-0.052,0.021,-0.575,0.067,9.982,1.854,-2.719,-93.469,0.985,0.006,0.022,-0.163
