gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q2,q3
-0.006,-0.026,0.048,-0.043,0.043,10.059,-11.1,4.05,-26.93,0.841,-0.02,-0.138,0.519
0.044,-0.048,0.021,-0.081,0.053,10.303,-10.65,4.8,-26.93,0.841,-0.02,-0.138,0.519
-0.004,0.006,0.012,-0.038,0.172,10.188,-10.65,4.8,-26.93,0.841,-0.02,-0.138,0.519
-0.051,0.074,-0.024,0.057,0.048,10.15,-12.6,4.35,-26.48,0.841,-0.02,-0.138,0.519
-0.05,-0.045,0.078,0.053,0.077,10.37,-10.5,3.45,-25.13,0.841,-0.02,-0.138,0.52
0.04,-0.023,0.101,-0.201,0.005,10.15,-11.1,4.8,-26.93,0.841,-0.019,-0.138,0.52
-0.066,0.099,-0.008,0.029,0.11,10.38,-10.5,3.9,-26.63,0.841,-0.02,-0.138,0.52
-0.008,-0.004,0.095,-0.043,0.048,10.255,-11.4,4.8,-26.18,0.84,-0.02,-0.138,0.521
-0.048,0.059,0.003,-0.081,-0.096,10.026,-9.9,4.8,-27.23,0.84,-0.02,-0.138,0.521
-0.028,0.019,-0.021,0.0,0.091,10.212,-10.65,4.8,-26.48,0.84,-0.02,-0.138,0.521
0.01,0.003,0.096,-0.053,0.086,10.26,-11.25,5.4,-27.08,0.84,-0.02,-0.138,0.521
-0.066,0.064,0.028,-0.01,-0.014,10.222,-9.9,5.1,-26.18,0.84,-0.02,-0.138,0.521
0.006,0.016,0.055,-0.091,0.086,10.203,-9.9,5.1,-26.18,0.84,-0.02,-0.137,0.521
-0.003,0.038,0.084,0.077,0.0,10.169,-11.4,4.05,-26.48,0.84,-0.02,-0.137,0.522
-0.047,0.071,0.051,0.225,0.11,10.169,-9.3,3.15,-26.33,0.84,-0.02,-0.137,0.522
0.004,-0.066,0.054,-0.038,0.053,10.227,-9.9,2.55,-26.48,0.839,-0.02,-0.137,0.522
-0.03,0.055,-0.002,-0.043,0.038,10.174,-9.9,5.1,-26.93,0.84,-0.02,-0.137,0.522
-0.047,0.017,0.028,0.024,0.077,10.275,-10.05,4.2,-26.63,0.839,-0.02,-0.137,0.522
-0.022,-0.018,0.032,-0.043,0.029,10.208,-11.85,3.75,-26.48,0.839,-0.02,-0.137,0.523
-0.047,0.081,-0.006,0.034,0.024,10.155,-11.85,3.75,-26.48,0.839,-0.02,-0.137,0.523
-0.007,0.004,0.079,-0.057,0.034,10.179,-11.4,4.8,-26.93,0.839,-0.02,-0.137,0.523
-0.075,0.039,0.013,-0.062,0.029,10.15,-11.4,4.8,-26.93,0.839,-0.021,-0.137,0.523
0.029,-0.025,0.08,-0.105,-0.053,10.212,-10.2,3.0,-26.48,0.839,-0.02,-0.137,0.523
0.015,-0.02,0.05,-0.057,0.067,10.16,-9.6,3.9,-27.83,0.839,-0.02,-0.137,0.524
-0.101,0.071,-0.046,-0.053,0.019,10.078,-9.9,3.75,-26.93,0.839,-0.02,-0.137,0.523
-0.045,0.087,-0.019,-0.062,0.211,10.174,-12.0,5.4,-27.38,0.839,-0.021,-0.137,0.523
-0.009,0.024,0.006,-0.086,0.177,10.203,-10.5,5.4,-27.83,0.839,-0.021,-0.136,0.523
-0.04,0.055,-0.008,-0.134,0.024,10.193,-8.85,3.9,-26.63,0.839,-0.021,-0.136,0.523
-0.021,0.042,-0.027,-0.014,0.053,10.15,-10.65,4.35,-26.18,0.839,-0.021,-0.136,0.523
