ax,ay,az,gx,gy,gz,mx,my,mz
-4416.0,4184.0,14616.0,-26791.0,-1435.0,32767.0,-136.0,-201.0,-467.0
-136.0,6216.0,17760.0,-24336.0,3716.0,32767.0,-129.0,-187.0,-468.0
-2160.0,4400.0,18432.0,-28033.0,6245.0,32767.0,-127.0,-185.0,-473.0
-5504.0,-608.0,20800.0,-28532.0,9147.0,32767.0,-120.0,-149.0,-467.0
-3016.0,656.0,24136.0,-18938.0,16592.0,32767.0,-112.0,-137.0,-459.0
-560.0,800.0,24640.0,-16020.0,23840.0,32767.0,-74.0,-136.0,-455.0
-1968.0,-1392.0,27360.0,-12841.0,32767.0,32767.0,-51.0,-136.0,-438.0
-1048.0,-80.0,27640.0,-5525.0,32767.0,32767.0,5.0,-157.0,-402.0
-2680.0,752.0,25984.0,-2953.0,32767.0,32767.0,34.0,-164.0,-402.0
-1920.0,2536.0,24384.0,1792.0,32767.0,32767.0,61.0,-224.0,-334.0
-1296.0,5576.0,19776.0,7838.0,32767.0,32767.0,72.0,-261.0,-289.0
-1424.0,7984.0,18440.0,14683.0,32767.0,32767.0,64.0,-302.0,-214.0
